TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
section,"Week 1: Get the Stack",,,,,,,,
task,"Day 0: Get Your Accounts Ready","Set up Claude, WordPress.com or Pressable, download the AI Experiments plugin, and install Node.js. (10 min)",4,1,,,,en,
task,"Day 1: Build a Site in Playground — Zero Install","Open WordPress Playground in your browser and build a working site in under 5 minutes. No downloads, no hosting. (10 min)",4,1,,,,en,
task,"Day 2: Install Studio CLI & Spin Up a Local Site","Install Studio CLI with brew install --cask studio, create a local WordPress site, explore the dashboard. (15 min)",4,1,,,,en,
task,"Day 3: Build a Block with Telex — No Code Required","Use Telex to describe a block in plain English and get a working WordPress block. Download the .zip and install. (10 min)",4,1,,,,en,
task,"Day 4: Connect Claude Desktop to WordPress via MCP","Install the WordPress MCP server, connect Claude Desktop to your local site, and have Claude read your content. (15 min)",4,1,,,,en,
task,"Day 5: Explore the WordPress AI Experiments Plugin","Install the AI plugin from GitHub, configure your AI provider, and test title generation, excerpt suggestions, and alt text. (15 min)",4,1,,,,en,
task,"Day 6: Understand the Abilities API","Learn how the Abilities API makes WordPress AI-discoverable — the framework that lets AI agents know what your site can do. (10 min)",4,1,,,,en,
task,"Day 7: Week 1 Review — Your Toolkit Map","Review all 6 tools you've installed. Draw your toolkit map and identify which tools you'll use most. (10 min)",3,1,,,,en,
section,"Week 2: Connect & Create",,,,,,,,
task,"Day 8: Teach Claude Your Publication via MCP","Connect Claude to your real site and have it analyze your content, voice, and editorial patterns. (15 min)",4,1,,,,en,
task,"Day 9: Generate SEO Metadata via MCP","Use Claude + MCP to audit and generate meta descriptions, titles, and Open Graph tags across your posts. (15 min)",4,1,,,,en,
task,"Day 10: Draft a Newsletter from Today's Coverage","Ask Claude to read your recent posts and draft a newsletter digest — matching your publication's voice. (10 min)",4,1,,,,en,
task,"Day 11: Create a Content Package via MCP","Turn one article into a full content package: social posts, newsletter blurb, push notification, and SEO summary. (15 min)",4,1,,,,en,
task,"Day 12: Build Custom Editorial Blocks with Telex","Use Telex to create editorial-specific blocks: author bios, related stories, breaking news banners. (15 min)",4,1,,,,en,
task,"Day 13: AI-Powered Editorial Analysis with Claude","Use Claude + MCP for content gap analysis, headline pattern review, and a pre-publish checklist. (15 min)",4,1,,,,en,
task,"Day 14: Week 2 Review — The Connected Workflow","Map how all your tools connect: MCP reads your site, Claude analyzes, Telex builds, AI plugin optimizes. (10 min)",3,1,,,,en,
section,"Week 3: Editorial Workflows",,,,,,,,
task,"Day 15: One Article, Five Platforms via MCP","Repurpose a single article into formats for 5 different platforms using Claude + MCP. (15 min)",4,1,,,,en,
task,"Day 16: Category & Tag Audit with Studio Code","Use Studio Code to audit your taxonomy structure, find orphaned tags, and clean up categories. (15 min)",4,1,,,,en,
task,"Day 17: Performance Audit with Studio Code","Run a performance audit on your site with Studio Code. Identify what you can actually change vs. what hosting handles. (15 min)",4,1,,,,en,
task,"Day 18: Build an Editorial Calendar via MCP","Have Claude generate a 2-week editorial calendar based on your content patterns, gaps, and audience trends. (15 min)",4,1,,,,en,
task,"Day 19: Build a Custom Theme with Telex","Use Telex to describe your ideal theme and get a complete WordPress theme built from a text description. (15 min)",4,1,,,,en,
task,"Day 20: AI-Powered Internal Linking with MCP","Audit internal links, find orphan content, and add strategic links across your archive with Claude + MCP. (15 min)",4,1,,,,en,
task,"Day 21: Week 3 Review — The 15-Minute Editorial Sprint","Put it all together: run a complete editorial workflow sprint in 15 minutes using every tool. (15 min)",3,1,,,,en,
section,"Week 4: Ship & Scale",,,,,,,,
task,"Day 22: Write Your AI Editorial Policy","Draft your team's AI usage policy: what AI can do, what requires human review, attribution rules. (15 min)",4,1,,,,en,
task,"Day 23: Build the Team Playbook","Create a playbook document with your top 5 AI workflows, prompt templates, and tool-by-tool guides for your team. (20 min)",4,1,,,,en,
task,"Day 24: Pair with a Teammate","Walk a colleague through 2-3 workflows from the course. Teaching reinforces learning. (20 min)",4,1,,,,en,
task,"Day 25: Measure the Impact","Compare before/after metrics: time saved, content output, SEO improvements, team adoption. (15 min)",4,1,,,,en,
task,"Day 26: Advanced — Custom Abilities for Your Newsroom","Build custom Abilities that expose your newsroom's unique workflows to AI agents. (20 min)",4,1,,,,en,
task,"Day 27: Prepare Your Demo","Build a 5-minute demo showing leadership what you've learned and the impact on your editorial workflow. (20 min)",4,1,,,,en,
task,"Days 28–30: Race Day — Ship It!","Present your demo, ship your playbook, and launch your AI editorial workflow for the full team. You did it! (30 min)",1,1,,,,en,
